  ▲ Next.js 14.2.28
  - Local:        http://localhost:3000
  - Environments: .env
  - Experiments (use with caution):
    · outputFileTracingRoot

 GET /api/realtime 200 in 247ms
 GET /api/realtime 200 in 299ms
 GET /api/realtime 200 in 258ms
 GET /api/realtime 200 in 273ms
 GET /api/realtime 200 in 229ms
 GET /api/realtime 200 in 246ms
 GET /api/realtime 200 in 312ms
 GET /api/realtime 200 in 341ms
 GET /api/realtime 200 in 251ms
 GET /api/realtime 200 in 275ms
 GET /api/realtime 200 in 247ms
 GET /api/realtime 200 in 307ms
 GET /api/realtime 200 in 236ms
 GET /api/realtime 200 in 235ms
 GET /api/realtime 200 in 313ms
 GET /api/realtime 200 in 257ms
 GET /api/realtime 200 in 252ms
 GET /api/realtime 200 in 243ms
 GET /api/realtime 200 in 241ms
 GET /api/realtime 200 in 340ms
 GET / 200 in 68ms
 GET /api/realtime 200 in 234ms
 GET /api/realtime 200 in 250ms
 GET /api/realtime 200 in 231ms
 GET /api/realtime 200 in 230ms
 GET /api/realtime 200 in 306ms
 GET /api/realtime 200 in 318ms
 GET /api/realtime 200 in 239ms
 GET /api/realtime 200 in 283ms
 GET /api/realtime 200 in 232ms
 GET /api/realtime 200 in 268ms
 GET /api/realtime 200 in 226ms
 GET /api/realtime 200 in 240ms
 GET /api/realtime 200 in 323ms
 GET /api/realtime 200 in 260ms
 GET /api/realtime 200 in 273ms
 GET /api/realtime 200 in 239ms
 GET /api/realtime 200 in 242ms
 GET /api/realtime 200 in 292ms
 GET /api/realtime 200 in 259ms
 GET /api/realtime 200 in 262ms
 GET /api/realtime 200 in 235ms
 GET /api/realtime 200 in 249ms
 GET /api/realtime 200 in 222ms
 GET /api/realtime 200 in 246ms
 GET /api/realtime 200 in 224ms
 GET /api/realtime 200 in 280ms
 GET /api/realtime 200 in 251ms
 GET / 200 in 62ms
 GET /api/realtime 200 in 240ms
 GET /api/auth/session 200 in 73ms
 GET /api/realtime 200 in 242ms
 GET /api/realtime 200 in 356ms
 GET /api/realtime 200 in 224ms
 GET /api/realtime 200 in 244ms
 GET /api/realtime 200 in 311ms
 GET /api/realtime 200 in 247ms
 GET /api/realtime 200 in 303ms
 GET /api/realtime 200 in 250ms
 GET /api/realtime 200 in 316ms
 GET /api/realtime 200 in 256ms
 GET /api/realtime 200 in 233ms
 GET /api/realtime 200 in 253ms
 GET /api/realtime 200 in 232ms
 GET /api/realtime 200 in 263ms
 GET /api/realtime 200 in 223ms
 GET /api/realtime 200 in 256ms
 GET /api/realtime 200 in 260ms
 GET /api/realtime 200 in 357ms
 GET /api/realtime 200 in 227ms
 GET /api/realtime 200 in 241ms
 GET /api/realtime 200 in 322ms
 GET /api/realtime 200 in 337ms
 GET /api/realtime 200 in 118ms
 GET /api/realtime 200 in 177739ms
 ✓ Compiled in 813ms (1287 modules)
 ✓ Compiled in 920ms (1449 modules)
 ✓ Compiled in 704ms (1449 modules)
 ✓ Compiled in 864ms (1449 modules)
 ✓ Compiled in 704ms (1449 modules)
 ✓ Compiled in 810ms (1449 modules)
 ✓ Compiled in 863ms (1449 modules)
 ✓ Compiled in 641ms (1287 modules)
 ✓ Compiled in 610ms (1292 modules)
[?25h
